Bairro,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educação,Taxa de Crescimento,Densidade Populacional,Zona,
Aricanduva / Vila Formosa,0.822,0.831,0.887,0.754,0.032332114,124.5125581,Leste,
Butantã,0.859,0.932,0.912,0.746,1.266535511,76.33101604,Oeste,
Campo Limpo,0.783,0.81,0.883,0.67,1.838968089,165.4237057,Sul,
Capela do Socorro,0.75,0.745,0.837,0.677,0.536713248,44.33159463,Sul,
Casa Verde,0.799,0.792,0.883,0.73,-0.126692095,115.871161,Norte,
Cidade Ademar,0.758,0.771,0.86,0.658,1.03465194,133.87557,Sul,
Cidade Tiradentes,0.708,0.67,0.798,0.664,1.042938326,141.0006667,Leste,
Ermelino Matarazzo,0.777,0.747,0.85,0.738,0.124114819,137.4231788,Leste,
Freguesia do Ó / Brasilândia,0.762,0.748,0.854,0.692,0.375834784,129.284127,Norte,
Guaianases,0.713,0.681,0.807,0.66,0.465660305,150.847191,Leste,
Ipiranga,0.824,0.839,0.889,0.75,0.777582539,123.6810667,Sul,
Itaim Paulista,0.725,0.691,0.808,0.683,0.380700322,171.9479263,Leste,
Itaquera,0.758,0.737,0.835,0.709,0.68043469,96.47292818,Leste,
Jabaquara,0.816,0.845,0.892,0.72,0.443416039,158.7092199,Sul,
Jaçanã / Tremembé,0.768,0.758,0.856,0.699,1.335210873,45.53307332,Norte,
Lapa,0.906,0.976,0.923,0.826,1.2192352,76.19102244,Oeste,
M’Boi Mirim,0.716,0.7,0.813,0.646,1.508691937,90.70933977,Sul,
Mooca,0.869,0.907,0.909,0.797,1.105679372,97.72159091,Leste,
Parelheiros,0.68,0.664,0.776,0.61,2.285235837,3.944582744,Sul,
Penha,0.804,0.786,0.88,0.75,-0.025666393,110.9016355,Leste,
Perus,0.731,0.698,0.812,0.689,2.958006004,25.53251748,Oeste,
Pinheiros,0.942,1,0.946,0.885,0.612711306,91.40157729,Oeste,
Pirituba / Jaraguá,0.787,0.774,0.87,0.724,1.144319598,79.99853748,Norte,
Santana / Tucuruvi,0.869,0.898,0.903,0.81,-0.071146082,93.60662824,Norte,
Santo Amaro,0.909,0.986,0.926,0.822,0.856893338,63.47333333,Sul,
São Mateus,0.732,0.712,0.823,0.668,1.122446133,93.18646288,Leste,
São Miguel Paulista,0.736,0.705,0.822,0.687,-0.238837729,152.0559671,Leste,
Sé,0.889,0.947,0.922,0.805,0.080666306,210.7585185,Centro,
Vila Mariana,0.938,1,0.939,0.878,1.43345863,164.5442748,Sul,
Vila Maria / Vila Guilherme,0.793,0.787,0.881,0.718,-0.221650935,112.7700758,Leste,
Vila Prudente,0.785,0.773,0.867,0.721,0.966227941,130.0498113,Leste,
